,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,TDCJ Number,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
2,1,6,85,55,92,11220000,1087,365547,999.0,0,0,18,999
3,1,2,84,173,71,9150000,7178,449674,999.0,0,0,15,999
5,1,1,83,204,9,11990003,1380,1241039,20.0,0,0,8,2
6,1,6,84,99,86,9130000,3487,248098,999.0,0,1,40,999
8,1,2,82,218,26,36120005,4952,1191104,20.0,0,0,16,2
12,1,2,80,99,0,9130000,3487,390414,999.0,0,0,39,999
13,1,1,80,120,71,9990019,7143,1286403,30.0,0,1,4,11
14,1,2,81,173,54,36140000,5927,701616,55.0,0,0,14,28
15,1,6,78,213,15,9130000,3480,401670,999.0,0,0,22,999
17,1,1,75,219,63,9150000,7178,431770,999.0,1,0,5,999
18,1,2,83,14,74,11990004,1120,1331987,25.0,0,0,3,9
19,1,6,80,156,67,54040011,4069,2081991,25.0,0,0,3,20
20,1,2,82,173,45,11990002,9829,1464193,25.0,0,1,2,10
21,1,2,81,14,86,9150000,7178,465081,999.0,0,0,14,999
22,1,6,80,82,27,9990017,7080,1245678,18.0,0,1,8,1
23,1,6,79,99,86,22090000,3360,457146,65.0,0,0,16,30
27,1,1,80,55,74,22990002,2957,1500719,12.0,0,0,4,2
32,1,2,83,13,100,9150000,7186,239085,999.0,0,0,50,999
33,1,1,79,55,3,25020000,1,194627,999.0,0,0,36,999
34,1,2,78,99,15,11180000,1250,510091,40.0,0,0,23,7
35,1,6,84,89,71,13160014,10095,2045811,8.0,0,0,5,2
36,1,1,82,125,53,11180000,1100,773439,32.0,1,0,9,7
37,1,1,78,55,26,11200000,2623,633954,60.0,0,0,14,31
38,1,1,78,147,73,12130000,980,670768,80.0,0,0,13,52
39,1,6,78,176,99,9150000,7143,666172,40.0,0,1,19,11
40,1,1,78,156,23,12120000,9681,158035,75.0,0,0,1,40
42,1,6,81,35,53,11190000,1259,698200,38.0,1,0,6,13
44,1,1,77,198,3,12130000,980,605284,999.0,0,0,12,999
45,1,6,79,114,71,13990013,6448,845067,25.0,0,1,20,2
46,1,6,80,240,71,9150000,7143,647103,50.0,0,1,16,22
48,1,2,78,19,26,35990112,9402,780225,15.0,0,1,9,4
50,1,6,77,17,53,54040011,4199,1619904,25.0,0,0,9,13
52,1,1,79,99,26,9130000,3482,436474,999.0,0,0,15,999
56,1,2,77,172,99,22090000,3382,348551,999.0,0,0,27,999
58,1,2,79,14,9,50990041,9639,2183125,25.0,0,0,2,20
59,1,2,77,99,25,11180000,1100,491755,999.0,0,0,14,999
60,1,6,75,19,11,54040011,4195,2053936,15.0,0,0,4,9
61,1,2,73,199,71,11990003,1382,1504198,25.0,0,0,2,11
62,1,1,82,126,74,11180000,9603,163176,999.0,0,0,18,999
63,1,6,77,20,67,24110000,10976,296659,999.0,0,0,6,999
64,1,6,71,94,15,36140000,5874,388001,70.0,0,0,6,38
65,1,2,77,219,45,36010001,5764,2202166,8.0,0,0,1,3
66,1,1,77,25,23,11990001,9767,1551677,15.0,0,0,6,1
68,1,6,82,105,74,36010001,5846,2269694,7.0,0,0,0,4
69,1,1,78,68,71,37040001,7527,1602179,25.0,0,0,10,12
70,1,1,77,55,65,9150000,7143,546627,999.0,0,0,2,999
71,1,6,81,99,71,36010001,5927,820572,25.0,0,1,2,10
72,1,1,75,183,12,35990014,7937,2259303,12.0,1,0,2,8
73,1,6,76,55,23,10100000,1552,352303,50.0,0,0,3,17
75,1,1,77,55,30,13170000,472,633963,60.0,1,0,4,34
77,1,1,87,213,100,11190000,1264,721588,50.0,1,0,14,24
78,1,6,74,99,71,73990000,4339,607017,45.0,0,1,3,19
79,1,6,76,219,63,36140000,5820,584860,75.0,0,1,9,45
80,1,6,77,219,100,11990002,10017,1323218,30.0,0,0,1,14
81,1,1,80,99,9,9150000,7178,454610,999.0,0,0,15,999
82,1,1,79,55,40,11180000,1553,347623,999.0,1,0,19,999
84,1,1,76,55,26,11180000,1100,664137,999.0,0,0,32,999
87,1,6,76,99,26,9130000,3487,249160,999.0,0,0,42,999
88,1,1,73,170,99,22090000,3382,400356,999.0,0,0,1,999
92,1,1,75,55,26,9150000,7141,203700,999.0,0,0,4,999
93,1,1,79,55,25,11180000,10045,501790,999.0,1,0,14,999
95,1,1,81,156,49,11990003,1382,1287736,30.0,0,0,2,13
97,1,2,78,14,9,35990002,8999,1766577,12.0,1,0,2,5
98,1,2,69,99,25,12120000,864,301858,999.0,0,0,6,999
99,1,2,76,68,0,11200000,2617,641115,999.0,0,0,22,999
103,1,6,74,55,100,12130000,965,733301,60.0,1,0,4,34
104,1,2,75,14,25,9150000,7186,190234,198.0,0,0,36,999
106,1,1,77,55,3,12120000,812,381328,999.0,0,1,3,999
107,1,2,77,199,74,11990004,1100,2096762,5.0,0,0,2,0
109,1,2,75,99,26,9150000,7178,441019,999.0,0,0,15,999
110,1,6,80,173,63,11190000,9852,644422,99.0,0,0,23,70
111,1,6,78,196,23,11180000,1325,658693,35.0,1,0,19,7
113,1,2,76,6,85,36010001,5872,346951,20.0,0,0,4,14
114,1,2,76,14,86,11180000,1100,633438,30.0,0,0,8,5
115,1,6,86,213,26,9150000,7139,175904,999.0,0,1,32,999
117,1,1,77,68,21,73990677,9448,2233963,6.0,1,0,2,3
118,1,2,70,99,15,12120000,1572,262953,999.0,0,1,18,999
119,1,2,74,55,86,11990004,1133,855743,45.0,0,0,2,20
121,1,6,76,213,54,36990007,4910,1923618,70.0,0,0,2,61
122,1,6,75,99,92,12130000,825,453633,35.0,0,0,4,2
123,1,6,84,66,73,11190000,1254,403292,99.0,0,0,17,62
124,1,6,77,110,24,54040011,4069,1112614,40.0,1,0,6,24
125,1,1,75,112,24,54040011,4095,2297144,5.0,0,1,1,3
126,1,6,79,9,15,11180000,1251,388789,999.0,0,0,17,999
127,1,1,75,55,49,22090000,3377,615199,40.0,0,0,3,14
128,1,6,78,228,30,9990003,7143,897741,30.0,0,0,8,7
132,1,1,75,213,26,35990015,7901,1742273,30.0,0,0,7,20
135,1,1,72,235,49,12120000,1513,258987,999.0,1,0,4,999
136,1,2,73,219,12,9150000,7143,263653,999.0,0,1,29,999
138,1,1,74,25,54,24110000,10975,373805,999.0,0,0,22,999
143,1,1,73,99,47,12130000,980,647852,25.0,1,0,3,0
146,1,6,73,219,13,22090000,2957,512775,99.0,1,0,10,67
147,1,1,71,156,9,22990002,2641,1610234,20.0,0,0,1,13
151,1,6,71,213,65,13170000,443,697565,999.0,0,0,3,999
153,1,1,75,55,86,12120000,864,433046,999.0,0,0,15,999
154,1,1,76,55,92,22100000,3290,300677,999.0,0,0,33,999
156,1,6,80,42,49,12990001,9666,1295904,20.0,0,0,14,2
157,1,6,78,219,73,9150000,7143,696132,99.0,0,0,11,73
158,1,6,75,165,71,11990004,1120,1305056,20.0,1,0,7,3
159,1,6,72,99,54,12120000,864,395838,999.0,1,0,17,999
160,1,6,74,219,9,12130000,825,374301,50.0,0,0,4,20
161,1,2,77,14,12,9140000,2600,279559,999.0,1,0,25,999
162,1,2,73,183,23,11180000,10042,382984,50.0,0,0,4,23
164,1,6,73,33,54,52030000,8642,336760,999.0,0,0,9,999
165,1,6,74,127,71,9150000,7143,263672,999.0,0,0,2,999
167,1,1,75,90,71,12120000,934,277265,999.0,0,0,4,999
168,1,1,74,55,49,9150000,7159,255592,999.0,0,0,17,999
169,1,6,74,55,54,12990002,1071,2300716,10.0,0,0,2,0
170,1,2,79,99,65,11190000,1419,488973,35.0,1,0,25,1
172,1,2,74,30,25,11990004,1220,1206411,35.0,0,0,16,51
173,1,6,79,55,95,9150000,7178,450482,999.0,0,1,15,999
174,1,6,74,238,45,11990004,1120,1555403,15.0,1,0,6,2
175,1,2,73,19,23,54040011,4069,2269760,8.0,0,0,1,6
176,1,1,77,82,40,11180000,1100,553254,999.0,1,0,16,999
177,1,1,73,228,71,13000036,9639,627858,8.0,1,0,2,999
178,1,6,75,137,53,11190000,1220,643237,36.0,1,0,20,7
179,1,1,75,99,26,36990007,4907,1984481,8.0,0,0,6,2
182,1,2,76,55,30,11190000,1120,643016,35.0,1,0,20,6
184,1,6,76,110,26,25040000,5257,689959,35.0,0,0,6,12
186,1,2,73,213,99,11990004,1120,1085493,40.0,0,0,0,20
189,1,1,70,99,9,11180000,1251,399236,999.0,0,0,17,999
191,1,1,74,55,71,13170000,82,662524,50.0,0,1,23,22
193,1,6,73,55,88,11180000,1553,343386,45.0,0,1,5,13
195,1,1,74,156,23,13150005,82,1060464,35.0,0,1,3,15
196,1,2,75,215,26,54040011,4069,2223746,10.0,1,0,2,7
198,1,6,73,99,49,12120000,9660,234234,999.0,1,0,16,999
199,1,6,74,81,49,9990009,2824,835181,25.0,0,0,12,0
200,1,6,73,186,71,9130000,3480,587502,999.0,0,0,17,999
202,1,2,74,125,9,9150000,7139,227122,999.0,0,0,48,999
203,1,6,68,111,60,23990196,10554,2333771,2.0,1,0,1,1
204,1,2,74,160,61,13150005,82,1357188,20.0,1,0,6,4
205,1,6,73,123,12,11990004,1391,1264062,20.0,1,0,7,3
206,1,6,74,55,13,9150000,7143,265101,999.0,0,0,21,999
207,1,6,74,99,40,11220000,1223,399533,999.0,1,0,17,999
208,1,1,73,14,63,12120000,9660,242161,999.0,0,0,1,999
209,1,6,75,200,45,9150000,7139,185946,999.0,0,0,29,999
210,1,2,74,218,26,11990004,1466,1368560,25.0,0,0,4,9
212,1,6,74,186,4,11180000,9767,634783,45.0,0,0,25,15
214,1,6,76,99,12,9150000,7186,219362,999.0,0,0,11,999
215,1,6,72,99,21,10100000,771,634075,60.0,0,1,15,30
216,1,6,70,142,53,11990004,1120,1333826,20.0,0,0,6,4
218,1,6,73,179,84,9150000,7172,355792,999.0,0,0,18,999
219,1,2,76,165,73,35990005,9169,1943127,999.0,0,1,2,999
221,1,1,73,120,15,11190000,1223,404274,45.0,0,0,4,24
222,1,1,85,206,23,35990014,7746,2323544,6.0,1,0,1,4
225,1,6,74,20,74,54040011,4081,2312091,15.0,0,1,1,12
227,1,1,76,170,26,54040011,4120,1944435,99.0,0,0,1,92
228,1,2,73,14,77,9140000,2824,245868,999.0,0,0,7,999
230,1,2,74,213,23,11990004,1166,1643951,12.0,0,1,3,3
233,1,2,78,45,53,36010001,5978,1428152,25.0,0,1,3,10
236,1,2,75,30,82,54040011,4081,2323443,2.0,0,0,1,1
237,1,6,74,105,26,9990001,7143,832745,30.0,0,0,9,6
238,1,6,73,156,71,13150005,443,1141767,30.0,1,0,4,11
241,1,2,71,147,30,35990004,8178,2065615,40.0,0,0,2,33
243,1,1,75,192,1,9990019,7143,1522354,25.0,0,1,1,11
245,1,1,72,14,88,12120000,9656,560248,99.0,0,0,5,69
248,1,1,73,147,12,9130000,3487,267745,999.0,0,0,39,999
249,1,2,72,106,9,9150000,7178,464767,999.0,0,0,15,999
250,1,1,70,82,84,22090000,3338,514321,999.0,0,0,14,999
252,1,1,74,55,71,12130000,965,305769,33.0,1,0,21,1
253,1,1,71,170,15,9130000,3482,521056,999.0,0,0,17,999
254,1,2,77,99,75,9180000,2746,707684,30.0,0,1,12,3
262,1,2,81,130,74,11990004,1120,747559,50.0,0,0,14,54
263,1,6,72,114,37,54040011,4080,1916026,50.0,1,0,0,45
267,1,6,73,112,26,11190000,9810,790389,40.0,0,0,20,16
270,1,1,73,92,12,13990025,6532,1247841,20.0,0,0,8,2
271,1,1,72,99,71,12120000,1571,356835,999.0,0,1,10,999
273,1,1,76,147,84,12130000,864,397210,999.0,0,0,2,999
274,1,6,70,206,0,24110000,10968,323061,999.0,0,0,15,999
275,1,1,73,99,71,36990007,4877,2099275,15.0,0,1,4,9
276,1,1,69,78,86,11180000,1100,657621,99.0,1,0,13,71
277,1,2,78,106,45,36010001,5949,2165950,7.0,1,1,1,3
278,1,6,74,3,23,9990019,7143,1358657,25.0,0,0,4,9
280,1,2,72,147,64,54040011,4069,1198704,35.0,0,1,1,24
282,1,2,71,93,93,10100000,780,341542,80.0,0,0,21,39
284,1,6,73,66,26,10100000,780,304977,999.0,0,0,21,999
285,1,1,74,219,75,12120000,9660,215304,999.0,0,0,5,999
287,1,1,75,148,3,11190000,1419,428157,999.0,0,0,11,999
288,1,1,75,90,3,12990001,9666,1281922,25.0,0,0,5,10
290,1,2,72,219,87,36010001,5821,1845836,10.0,0,0,4,1
291,1,1,75,99,12,12120000,864,401009,999.0,0,0,3,999
295,1,6,69,21,16,49010000,4369,651837,25.0,0,1,2,21
296,1,6,72,142,53,36140000,5973,506489,999.0,1,0,26,999
298,1,2,72,219,13,36140000,5936,1209035,80.0,0,1,12,62
300,1,6,82,55,26,11180000,9767,621203,999.0,0,0,0,999
301,1,2,71,232,86,9150000,7178,533079,99.0,0,0,18,66
302,1,1,68,227,93,35410000,11131,658987,40.0,0,0,3,12
304,1,2,82,99,53,11990003,1288,1042093,40.0,1,0,0,20
307,1,6,68,219,15,12130000,980,624746,60.0,0,0,14,31
308,1,6,73,99,15,36990023,7239,2245979,15.0,0,0,2,11
309,1,1,72,89,74,11180000,1100,418952,50.0,0,0,2,20
311,1,1,69,55,9,35310000,3825,684008,45.0,0,0,0,18
312,1,2,70,14,59,11990001,9767,1465196,30.0,0,0,0,15
315,1,6,72,55,49,9150000,7186,240473,999.0,0,0,4,999
316,1,1,71,120,93,9150000,7143,364209,60.0,0,1,4,26
318,1,2,73,147,9,54040011,4069,1834807,15.0,1,0,8,6
321,1,6,73,232,26,12120000,864,294378,40.0,0,0,3,13
324,1,2,69,13,9,48010013,4450,1610212,20.0,0,0,2,8
325,1,1,76,194,45,54040011,4069,2159172,10.0,1,0,3,6
327,1,6,69,99,65,24110000,10951,650233,40.0,0,0,18,11
330,1,2,71,99,86,22090000,2957,284139,134.0,0,0,17,99
331,1,2,72,19,40,52030013,3764,768380,3.0,1,0,1,24
333,1,2,79,99,53,11990004,1288,1042305,38.0,1,0,1,18
336,1,6,72,55,15,11190000,1288,702307,30.0,0,0,19,4
338,1,1,73,101,43,22990002,2957,1530596,35.0,0,0,8,21
339,1,2,70,55,0,11990004,1120,710898,25.0,0,0,3,2
341,1,2,73,235,67,54040011,4120,2129392,25.0,0,0,2,21
342,1,6,76,55,26,9150000,7139,195269,999.0,0,0,32,999
344,1,6,77,59,71,11180000,1100,644433,50.0,0,1,16,22
345,1,2,71,238,99,35990003,3823,729430,999.0,0,0,1,999
346,1,6,71,99,23,48010020,4606,2195372,8.0,0,1,3,4
347,1,6,70,55,12,11220000,1352,647007,999.0,1,0,14,999
350,1,6,68,173,53,12990001,9666,1844481,40.0,0,0,5,31
351,1,6,74,176,71,54040011,4069,2264184,7.0,0,1,2,5
352,1,2,71,68,27,36140000,5773,682006,45.0,0,0,17,17
354,1,1,69,169,26,54040011,4069,1582405,25.0,0,1,9,13
355,1,2,72,14,23,54040011,4188,2269332,7.0,0,0,2,5
356,1,1,76,72,3,9150000,7140,197371,999.0,0,0,8,999
357,1,6,75,77,86,12130000,980,476219,999.0,0,0,10,999
358,1,1,70,213,54,11180000,1251,406276,999.0,0,1,17,999
360,1,2,71,87,93,13170000,668,435134,999.0,0,0,4,999
362,1,6,73,189,26,36010001,5820,1505961,20.0,1,0,4,6
363,1,6,72,238,54,12130000,864,320695,999.0,0,1,7,999
364,1,1,72,55,30,12120000,864,769089,50.0,0,0,1,24
365,1,1,69,14,71,13150005,739,1641365,17.0,0,0,3,5
366,1,4,71,89,87,11220000,1456,669458,35.0,0,1,19,7
368,1,1,71,160,0,22990002,3304,1043210,99.0,0,0,1,81
369,1,1,72,120,84,12120000,9666,455308,999.0,0,0,24,999
371,1,6,70,66,53,11220000,1223,489626,999.0,1,0,18,999
372,1,1,72,206,92,35410000,3849,692194,30.0,0,0,3,7
373,1,6,70,123,9,11180000,1382,700032,30.0,0,0,20,3
376,1,6,71,55,49,9150000,7143,511649,999.0,0,0,3,999
377,1,1,72,156,100,11180000,1100,590129,35.0,0,0,3,12
379,1,1,73,69,7,35990015,7870,2240938,8.0,1,0,2,5
380,1,6,71,213,84,12130000,1570,373628,999.0,0,0,19,999
381,1,2,71,219,24,54040011,4069,1813686,25.0,1,0,7,16
385,1,2,73,14,26,13150005,443,1121651,35.0,1,0,2,15
386,1,6,72,213,93,9130000,3487,708039,999.0,0,0,7,999
387,1,2,70,235,63,35990016,7915,1762817,999.0,1,0,4,999
388,1,1,70,147,53,22080000,3457,288832,999.0,0,1,5,999
389,1,2,71,14,93,12120000,1510,279297,999.0,0,0,4,999
391,1,6,71,99,2,35990015,7497,1636653,12.0,1,0,1,8
393,1,2,74,14,27,35320000,8601,567465,30.0,1,0,3,5
395,1,1,71,206,23,35990015,7701,1912347,25.0,0,1,5,17
397,1,1,71,213,26,13150005,215,2237397,3.0,0,0,1,0
399,1,1,71,55,74,12990002,818,1223068,25.0,0,0,5,7
400,1,6,71,160,16,12130000,864,695837,45.0,0,0,17,16
402,1,2,69,172,0,48040003,10124,2191160,25.0,0,1,1,21
403,1,2,78,60,99,9150000,7178,295407,999.0,0,1,38,999
405,1,6,71,31,83,9150000,7178,375950,999.0,0,0,18,999
406,1,2,70,45,70,36010001,5936,1794250,15.0,0,0,2,5
407,1,6,71,213,35,11180000,1559,362463,75.0,1,0,18,37
408,1,6,72,103,71,54040011,4069,2281855,30.0,0,1,1,26
409,1,6,68,82,97,35110000,3937,506251,30.0,0,0,1,3
412,1,6,81,165,49,11990002,9774,2056549,10.0,0,0,1,4
414,1,1,70,99,99,9150000,7143,706826,60.0,0,0,14,31
415,1,2,70,14,99,9990001,7143,851948,30.0,0,0,9,6
416,1,2,72,154,92,11990004,1120,1859762,15.0,0,0,2,6
419,1,1,70,82,26,22090000,3382,396904,999.0,0,0,4,999
420,1,2,71,99,43,13150005,443,2253197,3.0,0,0,1,0
421,1,6,73,140,9,9140000,2665,380083,50.0,0,1,6,25
422,1,6,66,90,0,9150000,7178,347057,999.0,0,0,20,999
423,1,6,77,170,71,54040011,4095,1930443,25.0,0,1,5,17
424,1,1,72,55,0,9150000,7178,401360,999.0,0,1,16,999
426,1,6,70,218,23,12990002,864,2203858,7.0,0,1,1,3
427,1,6,70,165,71,22110000,3076,583021,999.0,0,0,13,999
429,1,6,71,89,65,36990013,5963,1276700,30.0,0,0,3,12
431,1,1,71,90,100,35410000,4033,462565,50.0,0,0,4,23
433,1,2,69,173,12,9150000,7178,465878,999.0,0,0,14,999
434,1,1,71,14,92,9160000,2827,243093,999.0,0,0,2,999
435,1,6,70,55,84,70990065,3510,1869336,999.0,0,0,3,999
436,1,2,82,14,26,36010005,5856,2285552,3.0,1,0,0,1
437,1,1,72,214,9,35990014,8654,2306002,5.0,1,0,1,3
439,1,6,71,89,71,35990003,7718,2205051,25.0,0,1,1,22
444,1,2,72,14,73,35120000,8645,548317,40.0,0,0,4,13
446,1,2,71,14,84,13150005,520,2274448,10.0,0,0,1,8
448,1,6,73,123,37,35990003,3881,2038325,25.0,1,0,3,19
449,1,6,69,55,53,9170000,3555,699985,999.0,0,0,10,999
450,1,1,79,192,49,9150000,7139,229683,999.0,0,0,42,999
453,1,6,70,214,71,36120000,5753,627165,999.0,0,0,26,999
454,1,6,71,165,3,70990065,11309,1930579,10.0,0,0,6,2
459,1,1,72,55,53,11190000,1290,891841,25.0,1,0,11,2
460,1,6,70,19,15,9150000,7143,655919,999.0,0,0,23,999
462,1,1,71,99,86,11220000,1220,468379,99.0,0,0,3,67
466,1,2,66,219,73,49990002,4369,769898,90.0,0,0,18,65
468,1,1,70,183,93,9150000,7158,251249,999.0,0,0,28,999
470,1,2,69,183,27,13160017,5680,2178778,6.0,1,0,4,1
474,1,6,70,183,27,13150004,368,2069357,20.0,0,0,4,13
475,1,1,69,13,37,22120000,3459,720977,50.0,1,0,2,23
476,1,1,70,55,71,11180000,1315,413816,999.0,0,0,13,999
478,1,1,70,99,97,13150005,443,1611520,17.0,0,0,4,5
483,1,6,72,55,25,9150000,7178,495865,999.0,0,1,18,999
484,1,2,69,55,65,11180000,1251,551949,999.0,0,0,11,999
486,1,2,70,99,73,12990002,1065,1635418,25.0,0,0,0,12
487,1,6,70,90,71,12130000,980,505390,30.0,1,0,3,6
490,1,1,69,55,71,22140000,3395,542510,60.0,0,1,10,36
491,1,6,70,182,53,9990001,7143,846284,40.0,0,0,3,17
494,1,2,71,6,23,36010001,5927,1467856,25.0,0,0,2,10
496,1,1,70,99,18,12130000,980,488117,105.0,0,0,1,72
498,1,1,73,55,64,22990002,3338,889141,35.0,0,0,4,22
500,1,2,69,14,25,23990196,10868,2218851,5.0,0,0,1,2
502,1,6,64,99,86,37040001,7534,1002778,999.0,0,0,16,999
504,1,1,71,18,88,9990030,7143,1037637,40.0,0,0,1,19
505,1,1,70,206,16,48040003,10118,2325851,6.0,0,0,1,5
506,1,1,70,99,71,9130000,7139,208829,999.0,0,0,45,999
508,1,1,69,68,54,36990007,5042,2339402,2.0,1,0,1,1
509,1,6,69,99,71,54040011,4155,2077765,20.0,0,1,3,15
510,1,6,70,82,54,9150000,7143,700178,999.0,0,0,13,999
512,1,6,69,42,25,26990120,5422,2208755,12.0,0,0,3,8
513,1,1,77,156,23,11990004,1120,1684208,15.0,0,0,4,4
514,1,1,76,14,16,9150000,7143,828791,40.0,0,0,3,18
518,1,1,70,99,99,22990002,3366,1773440,35.0,1,0,2,27
522,1,1,70,99,99,11180000,9767,753358,999.0,0,1,22,999
523,1,6,70,213,53,36990007,4939,1809547,12.0,0,0,8,2
524,1,1,68,82,49,11990001,9767,1824880,12.0,0,0,3,3
526,1,6,68,89,71,35990003,8407,2119905,12.0,0,1,3,7
527,1,1,70,90,37,54040011,4069,2166452,5.0,0,0,4,0
528,1,1,69,55,23,36990007,5145,2307777,3.0,0,0,1,2
530,1,6,69,89,15,9150000,7188,282740,999.0,0,0,43,999
531,1,1,71,114,25,22100000,3377,584478,50.0,0,0,18,19
532,1,6,72,169,23,10990001,6540,1567992,25.0,0,0,10,12
534,1,1,69,55,13,9130000,3487,343068,999.0,0,0,41,999
535,1,1,69,55,71,13150007,616,1994579,15.0,0,0,1,7
536,1,6,69,42,23,11990004,1391,2119892,10.0,0,0,1,4
537,1,6,73,14,73,13990043,6440,2017404,8.0,0,1,6,1
538,1,1,69,183,99,11180000,1100,579975,99.0,0,0,17,67
541,1,1,69,55,26,12990002,864,1032036,40.0,0,1,1,19
542,1,1,69,213,53,22120000,3325,537814,40.0,0,0,3,19
544,1,2,69,103,37,54040011,4069,2096442,99.0,1,0,0,93
545,1,1,67,20,0,9150000,7143,332499,65.0,0,0,23,23
546,1,1,70,55,99,9130000,3487,1492054,999.0,0,0,16,999
549,1,1,68,55,88,9150000,7143,342675,999.0,0,0,32,999
550,1,1,69,235,26,36990007,9988,2176008,7.0,1,0,3,3
551,1,6,71,235,45,35990003,7971,2113678,17.0,0,1,3,12
552,1,2,68,173,13,35120000,8458,636876,50.0,0,0,10,24
555,1,1,70,77,15,9150000,7143,802899,50.0,0,0,14,24
556,1,6,68,55,71,12130000,825,375824,99.0,0,0,18,61
559,1,2,69,173,16,51990018,2884,1332621,25.0,0,0,5,13
560,1,1,68,99,99,9150000,7143,1459800,35.0,0,0,3,20
561,1,6,69,45,26,36010001,5856,872077,99.0,0,0,7,76
563,1,6,76,89,94,36010001,5967,1367248,17.0,0,0,8,1
565,1,1,75,114,65,9150000,7143,696014,51.0,0,0,1,24
567,1,6,69,99,49,9150000,7188,240043,999.0,0,0,9,999
568,1,6,75,198,7,12140000,864,1461837,999.0,0,1,17,999
569,1,2,67,45,86,35990016,7739,1952184,40.0,0,0,3,33
570,1,1,69,227,84,11180000,810,317365,99.0,0,0,2,62
571,1,1,65,55,16,12990001,9666,1436893,30.0,0,0,2,20
572,1,6,68,55,86,9150000,7143,306040,119.0,0,0,24,77
573,1,1,69,55,93,10100000,780,565573,999.0,0,0,13,999
574,1,1,71,55,26,11190000,1259,529267,35.0,1,0,23,3
575,1,6,81,99,71,11190000,1223,599130,40.0,0,0,20,10
576,1,1,74,213,23,11990004,1137,1489593,25.0,0,0,2,10
577,1,6,73,99,53,54040011,4069,2280373,18.0,0,0,1,15
578,1,1,69,55,77,12120000,864,510863,35.0,1,0,8,5
579,1,2,70,14,85,12990001,9666,1407469,35.0,1,0,12,19
580,1,6,69,143,12,11180000,1315,380349,124.0,0,0,17,87
582,1,6,72,13,49,11180000,10042,380161,999.0,0,0,7,999
583,1,6,74,176,74,9150000,7143,207998,999.0,0,1,44,999
584,1,1,70,99,26,48010013,4545,1486417,35.0,1,0,10,21
586,1,6,69,99,12,9150000,7139,227274,999.0,0,0,32,999
588,1,2,69,14,23,13150005,443,1576639,20.0,0,0,4,6
589,1,1,69,13,97,11180000,10042,415443,50.0,0,0,3,18
593,1,6,74,219,63,11190000,1120,732619,40.0,1,0,7,13
594,1,6,72,55,100,11180000,1554,277927,999.0,0,0,6,999
595,1,2,69,219,23,11990004,1288,939831,30.0,0,0,6,9
596,1,1,67,55,2,12130000,980,443912,45.0,0,0,7,18
598,1,6,69,99,26,12990002,864,1281296,20.0,1,0,7,3
599,1,1,66,49,25,13990026,9639,525954,7.0,1,0,3,32
600,1,1,68,99,83,35320000,8594,679555,37.0,0,0,4,18
601,1,6,68,55,84,9150000,7133,453980,999.0,0,0,15,999
602,1,1,69,55,95,9150000,7178,660231,55.0,0,0,14,27
604,1,6,69,123,5,11190000,1220,676900,34.0,0,0,19,6
606,1,1,69,99,9,11180000,9767,675277,45.0,0,0,23,18
607,1,6,69,235,5,11990001,9841,922186,40.0,0,0,19,16
609,1,1,68,55,49,12120000,1571,242023,999.0,0,1,7,999
611,1,6,69,99,74,9150000,7178,629553,30.0,0,0,0,10
612,1,2,71,30,53,36010001,5976,936492,40.0,1,0,1,19
614,1,1,68,235,0,12120000,1509,284656,75.0,0,0,23,32
615,1,1,67,55,73,12120000,1562,326915,999.0,0,1,17,999
616,1,6,68,82,73,9150000,7143,266702,999.0,0,0,8,999
619,1,1,70,99,97,13180000,320,569051,35.0,0,0,0,11
620,1,6,69,55,63,9130000,3487,1743674,999.0,0,0,23,999
621,0,2,72,99,69,9150000,7157,475292,999.0,0,0,28,999
622,1,6,70,135,83,9150000,7178,300452,999.0,0,0,22,999
624,1,2,67,173,75,52030024,8446,1764622,25.0,1,0,7,15
625,1,2,68,55,53,11180000,9841,593092,50.0,1,0,25,20
626,1,6,70,123,86,10100000,774,394740,999.0,0,0,16,999
628,1,6,70,107,43,54040011,4117,1897627,25.0,0,0,6,17
629,1,6,68,185,37,54040011,4069,2271497,12.0,1,0,1,10
632,1,1,72,99,49,26050000,3606,716406,25.0,1,0,2,6
633,1,6,72,55,86,11190000,9810,714439,999.0,0,0,20,999
634,1,1,70,99,9,11200000,9603,232572,999.0,0,0,19,999
635,1,1,73,156,30,13150004,82,2317542,3.0,0,1,1,2
637,1,2,67,14,9,9130000,3487,296993,999.0,0,1,22,999
638,1,1,70,14,0,9150000,7143,344699,99.0,0,0,2,69
639,1,1,72,19,26,9150000,7171,623479,40.0,0,1,19,11
640,1,1,69,213,53,22990008,3398,2227582,5.0,1,0,3,2
641,1,1,70,55,49,22140000,3415,267290,999.0,0,1,2,999
642,1,1,69,55,23,12990001,9666,1897534,12.0,0,1,7,4
643,1,1,71,206,13,22100000,3099,262547,198.0,0,0,25,999
644,1,1,69,18,0,11180000,9767,631419,999.0,0,0,24,999
645,1,6,69,213,55,35990016,7620,2290885,5.0,0,1,1,3
647,1,1,59,13,26,13170000,472,561014,99.0,0,0,16,68
652,1,2,68,173,99,12990001,9666,699415,40.0,1,0,8,14
653,1,1,69,55,99,22090000,3338,261470,999.0,0,0,2,999
656,1,6,69,213,15,11200000,2761,565193,999.0,0,0,6,999
