,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,TDCJ Number,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
32784,1,2,43,55,27,48010020,4738,2339170,2.0,0,1,0,1
32787,1,6,46,69,0,37040001,7527,2058454,10.0,0,1,2,27
32790,1,6,49,42,12,9990019,7143,1211360,25.0,0,0,6,6
32794,1,2,43,62,25,35990003,3966,2268406,14.0,0,0,3,9
32796,1,1,46,99,86,11990004,1331,795690,25.0,0,0,3,15
32800,1,6,44,108,32,9150000,7143,794833,45.0,1,0,3,19
32804,1,2,41,49,25,52030013,8437,1746727,2.0,0,0,1,1
32805,1,2,43,0,93,35990209,9529,897261,5.0,0,1,2,2
32806,1,1,42,14,15,12000001,864,751598,40.0,0,0,7,13
32809,1,6,45,19,70,13150004,82,2251844,4.0,0,0,2,1
32810,1,1,44,2,60,35990002,7853,2267661,15.0,0,1,2,12
32811,1,2,49,173,73,23990009,10365,2066577,10.0,1,0,1,10
32812,1,6,48,197,1,24110003,10960,2266347,5.0,0,1,2,2
32813,1,1,43,14,25,12120000,864,770402,50.0,0,0,1,24
32814,1,0,48,213,80,54040011,4069,2305747,7.0,0,0,2,4
32816,1,2,45,196,4,13150005,82,2106430,8.0,0,0,1,3
32817,1,6,44,176,43,22990002,2925,829906,8.0,0,1,2,4
32818,1,6,44,183,46,11990004,1391,1558673,25.0,0,0,0,12
32819,1,6,44,82,61,35990003,8368,2252062,6.0,0,0,1,3
32821,1,2,70,156,53,11990003,1100,1426493,10.0,0,0,2,3
32822,0,6,48,156,17,54040011,4069,2253010,25.0,0,0,1,21
32824,1,2,55,55,61,9990001,7143,1763228,15.0,0,0,3,5
32827,1,1,51,65,67,35990015,8020,2264966,20.0,0,0,0,18
32828,1,1,43,55,73,9990011,2666,732345,50.0,0,0,1,24
32833,1,1,50,55,19,35990014,7648,2341513,4.0,1,0,1,3
32836,1,6,43,213,70,48010019,4741,2287769,5.0,0,0,2,2
32842,1,6,45,161,65,35990016,7608,2240664,10.0,0,1,2,7
32843,1,1,43,99,99,22990002,3191,2104933,40.0,0,1,2,33
32846,1,2,52,14,7,35990008,9015,2326308,8.0,0,0,0,7
32848,1,1,45,14,12,9150000,7143,745249,40.0,0,0,7,13
32849,1,2,48,106,59,13990076,2138,2316621,4.0,0,1,1,2
32852,1,2,43,106,73,9150000,7143,729170,50.0,0,1,2,23
32855,1,1,45,55,47,35990003,8789,1481990,12.0,1,0,1,5
32857,1,1,50,13,67,22990002,3273,1672980,35.0,0,0,8,24
32859,1,6,54,2,75,36990013,5941,1640411,10.0,0,0,6,3
32860,1,2,44,59,3,35990019,7870,2343416,2.0,1,0,0,2
32861,1,6,45,59,35,54040011,4069,2324332,12.0,0,1,1,10
32862,1,2,44,14,70,12990002,864,762976,30.0,0,0,10,5
32864,1,1,43,206,26,13990026,7222,2045987,18.0,0,0,3,12
32866,1,1,50,130,35,11190000,1220,1320217,20.0,1,0,7,3
32867,1,1,43,99,91,12990002,864,747474,25.0,0,1,3,1
32868,1,1,45,99,60,36990007,4912,2346910,5.0,0,0,1,3
32869,1,2,49,86,15,12990001,9739,1491470,50.0,0,0,1,37
32870,1,1,51,235,54,35990209,9352,725742,3.0,0,0,1,1
32871,1,1,45,99,60,13990076,2138,2321920,5.0,0,1,2,3
32872,1,1,43,120,15,12130000,864,784693,25.0,0,0,12,0
32873,1,1,43,120,13,22990002,3338,835295,20.0,0,0,1,34
32874,1,6,47,68,29,22990002,2957,1573516,12.0,0,0,1,3
32875,1,1,46,214,94,11990004,1391,1332502,20.0,1,0,7,3
32876,1,1,43,156,13,35990003,7811,2023884,30.0,0,0,4,23
32877,1,2,45,99,70,54040011,4155,2348718,4.0,0,0,0,3
32878,1,2,54,42,12,11990002,9774,1231319,20.0,0,0,0,10
32881,1,2,44,183,71,13150005,480,2022169,10.0,0,0,1,4
32882,1,6,44,241,99,22990002,2957,1846855,40.0,0,1,4,31
32884,1,1,45,99,10,52120009,5224,2282027,3.0,1,0,0,1
32885,1,6,51,206,37,54040011,4069,1834239,15.0,1,0,2,6
32886,1,6,44,36,25,36010001,5964,1933239,18.0,0,1,1,8
32887,1,1,43,219,12,13990076,2282,1929892,25.0,0,1,3,17
32889,1,6,48,105,90,35990016,7719,2319803,15.0,0,0,0,13
32891,1,1,44,156,12,22990002,3235,1994093,10.0,0,1,4,3
32896,1,2,45,30,63,22990002,2957,2321732,10.0,0,0,1,8
32900,1,6,44,70,93,22990002,2957,1411786,30.0,0,0,3,15
32901,1,2,43,55,61,54040011,4069,2337921,6.0,0,0,1,4
32902,1,2,48,30,37,54040011,4069,2295760,5.0,0,1,1,3
32903,1,1,44,99,43,12990001,9743,2260439,8.0,0,0,2,5
32904,1,6,49,99,60,22990002,2957,2325586,3.0,0,1,2,1
32905,1,6,44,214,22,23990194,10365,2314011,4.0,1,0,1,2
32908,1,2,44,103,88,12990002,864,1280802,25.0,0,0,3,20
32911,0,6,47,42,17,54010008,68,2126273,8.0,0,0,2,6
32912,1,1,46,99,49,54040011,4069,2254802,18.0,0,0,1,15
32917,1,2,42,147,66,9990030,7143,736651,30.0,0,0,1,6
32920,1,6,45,213,28,9990008,3487,914833,999.0,0,0,17,999
32921,1,1,43,213,46,13150001,349,810215,40.0,0,0,6,15
32922,1,1,44,147,96,22990002,2957,2319938,8.0,0,1,1,6
32925,1,2,44,14,0,13150011,91,2044496,15.0,0,0,0,7
32927,1,2,43,147,13,13990043,6194,1482159,25.0,0,0,1,18
32929,1,1,44,99,38,35990015,7922,2290979,8.0,1,0,2,5
32933,1,6,43,214,4,11990002,9774,1301359,20.0,0,0,2,3
32934,1,2,46,241,54,54040011,4107,2058844,25.0,0,0,3,19
32937,1,1,46,18,13,12990001,9666,1752355,35.0,0,0,5,25
32938,1,1,41,82,86,48010020,4517,2202901,15.0,0,1,2,11
32939,1,1,44,90,55,13990082,2407,2331086,10.0,0,0,0,8
32940,1,1,45,156,60,22990002,2957,2294571,10.0,0,0,1,8
32943,1,6,45,99,60,13150004,259,2344612,3.0,0,0,0,3
32945,1,6,43,228,46,9990001,7143,699888,20.0,0,0,0,10
32950,1,6,44,173,31,35990003,8957,2067706,25.0,0,0,3,19
32953,1,2,42,55,51,22990002,2957,1695872,20.0,0,1,5,10
32954,0,1,58,236,83,13150005,520,2329051,3.0,0,0,0,1
32955,1,2,52,14,97,54040011,4069,1523604,20.0,0,0,1,7
