,Current Facility,Parole Review Status,Last Parole Decision
791,24,0,1
793,53,0,1
795,5,0,0
796,25,0,1
801,86,0,0
802,12,0,0
803,9,0,1
804,23,1,0
806,54,0,0
807,74,0,0
808,97,0,0
809,37,0,1
810,9,1,0
811,23,0,0
814,54,0,0
815,83,0,0
816,53,0,0
817,99,0,0
818,45,1,0
820,70,0,0
822,23,1,0
824,54,0,0
826,92,0,0
827,54,0,0
828,15,0,0
829,23,0,1
830,21,0,0
836,70,0,1
837,59,0,1
838,13,0,0
841,96,0,0
843,45,0,1
845,71,0,0
846,20,1,0
847,73,0,0
848,48,0,1
851,53,0,0
853,26,1,0
854,0,0,0
855,84,0,0
857,23,0,0
858,71,0,0
859,13,0,0
860,55,0,0
861,46,0,0
862,5,0,0
863,53,0,0
866,66,0,0
869,44,1,0
871,70,0,1
872,9,0,0
873,49,0,1
874,26,0,1
875,49,0,0
876,16,0,1
877,53,0,0
878,83,0,0
881,5,0,0
882,86,0,0
883,30,0,0
886,74,0,0
887,71,0,0
889,9,1,0
892,23,0,0
894,31,0,1
895,86,0,1
898,53,0,0
899,71,0,0
901,0,0,0
904,54,0,0
905,99,0,0
907,71,1,0
908,71,0,0
909,15,0,0
910,43,0,0
911,87,0,0
912,12,0,0
913,53,0,1
914,25,1,0
915,86,0,0
916,40,0,1
919,86,1,0
923,88,1,0
924,49,0,1
926,70,0,0
927,65,0,0
929,84,0,0
930,25,1,0
933,65,0,0
934,0,0,0
935,37,0,1
937,64,0,0
938,12,0,0
940,70,0,0
941,92,0,1
945,27,1,0
946,13,1,0
947,70,0,0
948,23,0,0
949,16,0,0
951,49,0,0
953,30,0,0
954,26,0,0
955,86,0,0
958,67,1,0
959,49,0,0
962,25,0,0
963,54,0,0
965,2,0,0
967,71,0,0
969,49,0,1
970,74,0,0
971,12,0,0
977,53,0,1
978,71,0,0
979,71,0,0
981,0,1,0
982,40,0,1
985,93,0,0
986,86,1,0
989,30,0,0
991,26,0,0
992,74,0,0
993,75,1,0
994,23,0,0
995,86,1,0
996,9,0,0
997,27,0,0
998,63,0,0
999,71,0,1
1000,24,0,1
1001,13,1,0
1002,53,0,0
1003,59,0,0
1004,65,1,0
1005,63,0,1
1006,59,0,0
1007,71,0,1
1009,71,1,0
1011,83,0,0
1012,71,1,0
1013,54,0,0
1014,74,0,0
1017,23,0,0
1018,71,0,0
1019,49,0,0
1020,27,1,0
1021,30,0,0
1022,63,0,1
1023,9,0,0
1025,63,1,0
1026,26,1,0
1027,26,0,1
1029,84,0,0
1030,23,0,0
1032,73,1,0
1033,71,1,0
1035,73,0,0
1037,71,0,0
1038,9,0,0
1043,73,0,0
1045,5,0,1
1046,12,0,0
1050,84,0,0
1051,73,1,0
1052,99,0,0
1056,86,0,1
1058,97,0,1
1059,9,0,1
1060,49,0,0
1061,93,0,0
1062,40,0,1
1064,26,1,0
1065,46,0,0
1066,3,0,0
1067,43,0,0
1071,23,0,0
1072,86,0,0
1076,46,0,0
1078,12,0,0
1081,0,0,0
1083,30,0,0
1085,35,0,1
1087,26,0,0
1088,26,0,0
1089,12,0,1
1090,65,1,0
1092,93,0,0
1093,99,0,0
1094,12,0,0
1097,54,0,0
1099,0,0,0
1102,9,0,1
1103,67,1,0
1104,13,0,0
1105,0,0,1
1106,87,0,0
1107,21,0,0
1108,1,1,0
1109,71,1,0
1110,30,0,1
1112,53,1,0
1113,88,0,0
1114,46,0,0
1115,49,0,0
1116,23,0,0
1117,74,0,0
1122,86,0,0
1123,75,0,1
1124,71,0,1
1131,26,0,1
1133,24,0,1
1134,74,0,1
1136,88,0,0
1137,94,0,0
1138,25,0,1
1139,37,0,1
1140,93,1,0
1141,53,0,0
1142,75,1,0
1144,65,1,0
1145,30,0,0
1146,83,0,0
1148,93,0,0
1149,53,0,1
1151,21,1,0
1153,43,0,0
1154,88,0,0
1155,30,0,0
1157,99,0,0
1160,26,0,0
1161,86,1,0
1162,53,0,0
1163,12,0,0
1167,30,0,1
1168,20,0,0
1170,70,1,0
1172,54,0,0
1173,0,0,0
1174,9,0,0
1176,71,0,0
1177,82,0,1
1178,23,0,0
1181,87,1,0
1184,94,0,0
1185,9,0,0
1186,54,0,0
1189,84,0,0
1191,74,0,0
1192,23,0,0
1193,15,0,0
1195,75,0,0
1197,27,0,0
1198,21,0,1
1199,71,1,0
1200,45,0,0
1201,15,0,0
1204,15,0,0
1205,53,0,0
1206,21,0,0
1207,86,0,0
1209,84,0,0
1210,53,0,0
1212,26,0,0
1215,21,0,0
1218,75,0,1
1219,53,0,0
1220,93,0,0
1221,73,0,0
1226,0,0,0
1228,25,0,0
1229,88,0,1
1230,12,0,0
1231,25,0,0
1235,67,0,0
1236,70,0,0
1238,70,0,1
1239,5,0,0
1241,26,1,0
1243,55,0,0
1247,0,0,0
1249,86,0,1
1252,93,1,0
1253,53,0,1
1254,9,0,1
1256,67,0,0
1257,86,0,0
1258,27,1,0
1260,100,0,1
1261,75,1,0
1262,71,1,0
1267,86,0,0
1269,86,0,0
1270,23,0,0
1271,26,0,0
1272,84,0,0
1274,16,0,0
1277,25,0,0
1278,26,0,0
1279,71,0,0
1280,27,1,0
1283,24,0,1
1285,74,0,0
1286,71,0,0
1288,97,0,0
1290,45,0,0
1291,73,1,0
1293,63,0,0
1297,71,0,1
1298,24,0,1
1299,40,0,1
1300,54,0,0
1302,13,0,0
1303,0,1,0
1306,12,1,0
1307,23,1,0
1309,24,0,1
1310,86,0,1
1312,21,0,0
1315,26,0,0
1318,27,0,0
1319,86,0,0
1321,12,0,0
1323,23,0,0
1324,75,1,0
1329,20,0,0
1330,71,0,0
1331,26,0,1
1333,26,0,0
1336,40,0,1
1338,27,0,0
1339,86,1,0
1340,0,0,0
1342,9,0,0
1343,54,0,0
1344,86,1,0
1347,25,0,0
1348,77,0,0
1351,11,1,0
1352,53,0,0
1353,60,1,0
1355,24,0,1
1356,84,0,1
1358,73,0,0
1360,1,0,0
1362,23,0,0
1363,53,0,1
1364,87,0,1
1365,24,0,1
1368,27,0,1
1369,18,0,0
1370,87,0,0
1371,63,0,1
1372,65,0,0
1373,93,0,0
1375,93,0,0
1376,9,0,0
1377,75,0,0
1379,71,0,0
1382,21,1,0
1384,15,0,0
1385,65,0,0
1386,54,0,0
1387,75,0,1
1388,9,0,0
1389,85,0,0
1390,97,0,1
1391,70,0,0
1392,92,0,0
1393,5,0,0
1397,37,0,1
1400,73,0,0
1401,86,0,0
1402,74,0,0
1403,26,1,0
1404,4,0,0
1405,24,0,1
1407,63,0,0
1408,71,0,0
1409,13,0,0
1411,12,0,1
1413,77,0,0
1415,26,0,0
1418,43,0,0
1421,54,0,0
1422,71,0,0
1423,9,1,0
1425,75,0,0
1426,75,0,0
1428,9,0,0
1430,70,0,0
1433,58,0,0
1435,12,0,0
1437,66,1,0
1438,99,0,0
1440,86,0,1
1441,26,0,0
1442,53,0,1
1443,88,0,0
1445,26,1,0
1446,23,1,0
1447,92,0,0
1450,25,0,0
1452,35,0,1
1453,93,1,0
1455,73,0,0
1457,73,0,0
1461,26,1,0
1465,71,0,0
1466,86,0,0
1468,70,0,1
1469,53,1,0
1471,86,0,0
1472,26,1,0
1473,15,0,0
1474,71,0,1
1475,93,0,0
1477,86,1,0
1481,12,0,1
1483,99,0,0
1484,53,1,0
1485,23,1,0
1486,16,0,0
1487,12,0,0
1488,74,0,0
1489,97,1,0
1490,15,0,1
1492,86,0,1
1494,53,0,0
1496,23,0,1
1498,49,0,0
1499,2,0,1
1500,23,0,0
1501,53,0,0
1502,86,0,0
1503,75,0,0
1506,44,0,0
1507,0,1,0
1509,2,0,1
1511,37,0,1
1516,86,0,0
1517,54,0,0
1518,75,0,0
1520,0,0,0
1522,96,1,0
1524,21,0,1
1525,71,0,0
1527,100,0,0
1528,99,1,0
1533,74,0,1
1534,37,0,1
1535,9,1,0
1536,49,1,0
1537,49,0,0
1539,70,0,0
1541,44,0,0
1542,95,0,0
1543,83,0,0
1547,49,0,0
1548,53,0,1
1551,54,0,0
1552,77,0,0
1553,26,0,0
1554,87,1,0
1556,21,1,0
1559,17,0,0
1561,54,0,0
1562,86,0,0
1563,65,0,0
1564,88,0,1
1565,37,0,1
1566,15,0,0
1567,25,0,0
1569,4,1,0
1570,32,0,1
1571,71,0,0
1572,23,1,0
1574,97,0,0
1575,99,0,0
1577,88,0,0
1579,4,0,1
1581,47,1,0
1583,75,0,0
1584,83,0,0
1585,84,0,1
1586,30,1,0
1589,49,0,0
1591,100,0,0
1594,12,0,0
1595,86,0,0
1596,25,0,0
1598,15,0,0
1601,100,0,0
1602,15,0,0
1606,26,0,0
1608,15,0,0
1610,49,0,0
1612,26,0,0
1615,86,0,0
1616,84,0,0
1619,70,0,0
1620,43,1,0
1621,26,0,0
1622,0,0,0
1624,54,0,0
1625,54,1,0
1628,46,0,1
1629,71,0,0
1630,74,0,0
1631,26,0,0
1632,53,0,0
1633,54,0,0
1635,92,0,0
1637,43,0,1
1638,54,1,0
1639,74,1,0
1641,12,0,0
1643,99,0,0
1644,7,0,0
1645,88,0,0
1646,65,0,0
1647,70,0,0
1648,71,1,0
1652,73,1,0
1655,86,1,0
1656,40,0,0
1657,86,0,0
1658,0,0,0
1659,0,0,0
1660,88,0,0
1661,13,0,0
1662,70,0,0
1665,53,0,0
1667,73,0,1
1668,23,0,0
1669,85,1,0
1670,71,0,0
1671,9,0,1
1672,67,0,0
1674,92,0,0
1675,15,0,0
1676,26,0,0
1679,12,0,0
1681,9,1,0
1684,35,1,0
1687,65,1,0
1688,74,0,0
1690,73,1,0
1691,46,0,0
1693,26,1,0
1696,63,0,0
1698,84,0,0
1699,9,0,0
1701,73,0,0
1702,86,0,0
1704,4,0,0
1706,69,0,0
1709,92,1,0
1710,86,0,0
1711,53,0,1
1716,97,1,0
1717,100,0,0
1718,26,0,1
1720,63,0,0
1721,59,1,0
1722,49,0,0
1723,63,0,0
1724,32,0,1
1731,5,1,0
1732,86,1,0
1736,65,0,0
1737,12,0,1
1740,20,0,0
1741,13,0,0
1742,88,0,0
1743,12,0,0
1744,25,0,0
1746,54,0,0
1747,45,0,0
1748,54,1,0
1749,65,0,0
1750,86,0,0
1751,23,0,0
1752,0,0,0
1753,73,1,0
1754,100,0,0
1755,49,0,0
1756,13,0,0
1758,86,0,1
1759,63,0,0
1760,74,1,0
1761,71,0,0
1762,32,0,1
1763,15,1,0
1764,71,0,0
1768,9,0,1
1770,0,0,0
1771,87,0,0
1774,35,0,1
1776,40,0,1
1778,12,1,0
1780,0,0,1
1781,25,1,0
1782,53,0,1
1783,9,0,0
1784,49,1,0
1786,1,0,1
1787,74,1,0
1788,0,0,0
1789,84,0,0
1790,71,0,1
1793,65,0,0
1794,9,0,1
1795,83,0,0
1797,92,0,0
1798,45,0,0
1799,53,0,0
1801,9,0,0
1802,51,1,0
1806,30,0,0
1807,44,0,1
1808,32,0,1
1810,63,0,0
1812,63,0,0
1813,71,0,0
1817,0,0,0
1818,75,1,0
1821,13,0,0
1822,73,0,0
1823,53,1,0
1825,49,0,0
1827,67,0,0
1828,99,1,0
1830,47,0,0
1831,84,0,0
1832,21,0,0
1835,9,1,0
1837,47,0,0
1839,77,0,0
1841,23,0,1
1842,53,1,0
1845,40,0,1
1847,14,0,0
1848,43,0,0
1849,35,0,1
1852,26,1,0
1853,86,0,0
1854,49,1,0
1857,24,0,1
1860,40,0,1
1861,9,0,0
1862,26,0,0
1863,71,0,1
1864,85,1,0
1865,77,1,0
1866,4,0,0
1867,24,0,1
1868,54,0,1
1869,86,0,0
1873,70,1,0
1875,23,1,0
1879,12,0,0
1880,0,0,0
1884,35,0,1
1885,80,0,1
1887,26,0,0
1892,74,0,0
1893,95,0,0
1894,0,0,0
1895,61,0,0
1897,99,0,0
1898,45,0,0
1901,12,0,1
1902,4,0,0
1904,77,0,0
1906,26,1,0
1907,73,0,0
1908,43,0,0
1909,23,0,0
1910,9,0,1
1911,12,0,0
1913,30,0,0
1914,54,1,0
1917,86,0,0
1918,71,0,1
1919,48,0,0
1920,86,0,0
1922,75,1,0
1923,99,0,0
1924,53,0,0
1925,43,0,0
1926,90,0,0
1928,53,0,0
1930,24,0,1
1933,24,1,0
1935,22,0,0
1938,86,1,0
1939,24,0,0
1940,71,1,0
1943,67,0,0
1945,84,0,0
1947,70,0,1
1950,71,0,0
1952,63,0,0
1954,66,0,0
1955,0,0,0
1956,12,0,0
1957,16,0,0
1959,75,1,0
1960,32,1,0
1962,53,0,1
1963,9,0,0
1964,74,0,0
1965,4,0,1
1966,75,0,0
1967,86,0,0
1971,43,0,0
1972,86,1,0
1973,21,0,0
1974,13,0,0
1977,46,0,0
1978,45,0,0
1980,54,1,0
1981,74,0,0
1983,9,0,0
1984,65,0,1
1985,95,0,0
1986,49,0,0
1988,70,0,0
1989,23,1,0
1990,30,0,1
1993,71,1,0
1994,99,0,0
1996,54,0,0
1997,9,1,0
1999,84,0,0
2000,45,0,0
2001,21,1,0
2003,25,0,0
2004,63,0,0
2005,75,0,0
2006,21,0,0
2007,13,0,0
2008,46,0,0
2009,54,0,0
2011,84,0,0
2014,73,0,0
2019,93,0,0
2021,15,0,0
2031,53,1,0
2032,5,0,0
2033,93,0,0
2035,99,1,0
2036,82,0,0
2037,74,0,0
2038,74,1,0
2040,65,0,0
2041,5,1,0
2042,0,0,0
2043,26,0,1
2044,73,1,0
2045,5,0,0
2046,16,0,0
2047,26,0,0
2048,37,0,1
2050,35,1,0
2051,86,0,1
2052,53,0,0
2053,26,0,0
2054,9,0,1
2055,67,0,0
2056,99,0,0
2057,75,0,0
2058,9,0,1
2060,15,0,0
2061,100,0,0
2063,9,0,0
2065,7,1,0
2067,54,1,0
2068,26,0,1
2072,86,1,0
2073,71,1,0
2074,9,0,0
2079,75,0,0
2080,93,0,1
2084,75,0,0
2085,63,0,0
2086,37,0,0
2087,49,0,1
2089,46,0,1
2090,70,0,0
2091,23,0,1
2092,71,0,0
2093,93,0,0
2094,100,0,0
2095,70,0,0
2100,73,0,0
2101,25,0,0
2102,71,1,0
2105,86,1,0
2106,65,0,0
2107,9,0,1
2108,85,0,0
2110,9,0,0
2111,23,0,0
2112,71,0,0
2113,21,0,0
2114,37,0,1
2116,25,0,1
2117,99,0,0
2120,84,0,0
2123,9,0,0
2124,9,0,0
2125,49,0,0
2127,75,0,1
2129,30,0,0
2131,63,0,0
2132,77,0,0
2134,25,1,0
2135,37,0,1
2136,83,1,0
2137,74,0,0
2141,54,0,0
2142,63,0,1
2143,53,0,0
2144,27,1,0
2146,92,0,0
2147,26,1,0
2149,21,1,0
2150,65,1,0
2151,53,0,1
2152,67,0,0
2153,24,0,1
2154,63,0,0
2155,37,0,0
2156,75,0,0
2157,37,0,1
2161,27,1,0
2162,31,1,0
2163,86,1,0
2164,2,0,0
2166,74,0,0
2167,86,1,0
2168,26,0,0
2169,32,0,1
2172,4,1,0
2173,26,0,0
2174,74,0,0
2175,73,1,0
2176,52,0,1
2178,26,1,0
2180,26,0,0
2181,99,1,0
2183,61,0,1
2184,12,0,0
2187,83,1,0
2188,12,0,0
2189,63,1,0
2194,86,0,0
2195,95,0,0
2198,4,0,0
2201,26,1,0
2202,23,0,0
2203,24,1,0
2205,12,0,0
2206,66,0,0
2207,54,0,0
2208,70,0,0
2209,26,0,0
2211,26,1,0
2212,77,0,1
2213,26,0,0
2214,21,0,1
2218,71,0,0
2220,13,1,0
2221,9,1,0
2223,32,0,1
2224,21,1,0
2225,63,0,0
2226,92,0,0
2227,88,1,0
2232,86,1,0
2233,4,1,0
2234,75,0,0
2235,9,0,1
2237,32,0,0
2240,60,0,0
2241,37,0,1
2242,7,1,0
2243,84,0,0
2247,17,0,0
2248,5,0,0
2249,40,0,1
2250,24,0,0
2251,13,0,0
2252,75,0,0
2253,86,0,0
2255,25,0,0
2256,84,0,1
2257,75,0,0
2259,23,0,0
2262,75,0,0
2263,65,0,0
2264,84,0,0
2269,49,0,0
2271,70,0,0
2274,63,0,0
2275,9,0,1
2279,54,0,0
2282,26,0,1
2285,23,1,0
2286,5,0,1
2290,91,1,0
2291,9,0,0
2293,93,0,1
2294,4,0,0
2295,86,0,0
2296,99,1,0
2297,55,0,0
2298,26,0,0
2299,32,0,1
2301,93,0,0
2302,53,0,1
2303,30,0,0
2306,88,0,0
2307,49,0,0
2310,27,0,0
2311,49,0,0
2312,8,0,0
2313,30,0,0
2315,12,0,0
2316,53,0,1
2317,22,0,0
2318,82,0,1
2320,48,0,0
2321,12,0,0
2322,26,1,0
2323,63,0,0
2328,21,1,0
2329,12,0,0
2330,30,0,1
2331,70,0,0
2332,45,0,0
2333,54,0,1
2334,63,1,0
2335,12,0,1
2336,73,0,0
2337,99,0,0
2338,2,1,0
2339,51,0,0
2340,53,0,0
2341,2,1,0
2343,83,1,0
2344,4,0,0
2345,84,0,0
2348,9,0,1
2349,53,1,0
2351,0,1,0
2352,76,1,0
2353,99,0,0
2354,99,0,0
2355,92,0,0
2356,9,0,0
2357,14,0,0
2358,74,0,0
2359,69,0,1
2360,31,0,0
2362,86,0,0
2364,45,0,0
2365,26,0,0
2368,46,0,0
2369,43,0,0
2370,32,0,1
2374,97,0,0
2375,45,0,0
2376,9,0,0
2377,70,0,0
2379,2,1,0
2381,75,0,1
2382,47,0,0
2383,9,1,0
2384,26,0,0
2385,88,0,0
2388,60,0,0
2390,23,0,0
2391,0,0,0
2393,37,0,1
2394,65,0,0
2395,71,0,0
2396,26,0,0
2397,13,0,0
2401,63,0,0
2402,59,1,0
2403,9,0,1
2404,25,1,0
2405,35,0,0
2407,88,0,0
2409,65,1,0
2411,86,0,0
2413,49,0,0
2415,86,0,0
2416,73,1,0
2417,0,0,0
2418,83,0,0
2419,49,1,0
2420,43,0,1
2422,15,0,0
2424,75,0,1
2425,65,0,0
2426,54,0,0
2429,49,0,0
2431,75,0,0
2433,47,0,0
2434,26,1,0
2437,63,0,1
2438,67,0,0
2440,65,0,0
2443,27,0,0
2445,99,0,0
2446,15,1,0
2447,51,0,0
2448,49,0,0
2450,4,0,0
2451,16,1,0
2452,65,0,0
2453,4,0,0
2454,71,0,0
2455,9,0,0
2457,13,1,0
2458,5,1,0
2459,93,0,0
2461,26,1,0
2463,99,0,0
2464,84,0,0
2467,47,0,0
2468,15,0,1
2470,25,1,0
2472,49,0,0
2473,86,1,0
2476,26,0,0
2477,65,1,0
2478,26,0,0
2479,24,0,1
2481,48,0,0
2482,71,0,0
2483,75,0,0
2485,49,0,0
2486,24,0,0
2487,9,0,1
2488,13,0,0
2489,15,0,0
2490,23,0,1
2491,75,0,0
2492,73,0,0
2494,86,1,0
2495,65,0,1
2496,53,1,0
2497,92,0,0
2498,12,0,0
2499,47,0,0
2500,32,0,1
2501,47,1,0
2502,78,0,0
2503,27,0,0
2504,26,1,0
2505,35,0,1
2507,35,0,0
2510,53,0,1
2511,73,0,0
2512,49,1,0
2513,92,0,0
2514,25,0,1
2515,10,0,1
2517,13,0,0
2518,23,1,0
2519,21,0,0
2520,26,0,0
2521,71,1,0
2523,65,0,0
2524,75,0,0
2525,37,0,1
2526,49,0,1
2527,9,0,0
2528,54,0,0
2530,0,1,0
2531,86,0,0
2532,23,0,0
2533,26,0,0
2534,86,1,0
2537,47,0,0
2538,0,1,0
2539,86,1,0
2540,32,1,0
2542,77,0,1
2543,44,1,0
2544,23,0,0
2545,65,0,0
2548,21,0,0
2549,63,0,0
2550,30,0,1
2552,82,1,0
2553,74,0,0
2554,24,0,1
2555,65,0,1
2557,9,0,0
2558,2,0,0
2560,63,1,0
2561,77,0,0
2562,49,0,0
2563,71,1,0
2564,9,0,0
2565,54,0,1
2566,47,0,0
2567,4,0,0
2568,86,0,1
2569,21,1,0
2571,53,0,0
2572,65,0,0
2573,24,0,1
2574,24,0,1
2576,87,0,0
2577,70,0,1
2579,23,0,0
2580,26,0,0
2581,65,0,0
2582,3,0,1
2584,46,1,0
